Date,Actual VN-INDEX,Baseline Predicted VN-INDEX,Predicted VN-INDEX
2025-11-27,1684.32,1680.4015888691824,1670.1696770187666
2025-11-28,1690.99,1677.9709424356206,1673.2147486534095
2025-12-01,1701.67,1687.8074423399553,1680.930692016864
2025-12-02,1717.06,1687.6750729678022,1683.1073277620922
2025-12-03,1731.77,1713.9745352142108,1879.007322992508
2025-12-04,1737.24,1713.760601035388,1882.9563658083694
2025-12-05,1741.32,1737.5116355698308,1791.542773482978
2025-12-08,1753.74,1744.3679744380452,1750.6818352059759
2025-12-09,1747.17,1759.5698356423254,1935.707186632349
2025-12-10,1718.98,1763.534435645824,1930.644613563814
2025-12-11,1698.9,1718.3095803790895,1930.8819978295883
2025-12-12,1646.89,1721.010232820028,1993.6862065093583
2025-12-15,1646.01,1643.6909472298896,1702.293366783802
2025-12-16,1679.18,1644.3708697707305,1697.8565806784009
2025-12-17,1673.66,1680.0103638617918,1682.8502815640175
2025-12-18,1676.98,1678.8664919457215,1674.9380650313688
2025-12-19,1704.31,1676.307462992162,1671.6510359867323
2025-12-22,1751.03,1675.9787369126657,1676.475624535612
2025-12-23,1772.15,1752.6751003659128,1708.9574106478299
2025-12-24,1782.82,1751.8691076797024,1710.6796543021333
