Date,Actual VN-INDEX,Baseline Predicted VN-INDEX,Predicted VN-INDEX
2025-10-13,1765.12,1749.8161891146717,1744.201416015625
2025-10-14,1761.06,1753.3624169694162,1747.202880859375
2025-10-15,1757.95,1770.5338110395508,1782.433349609375
2025-10-16,1766.85,1777.3576758843744,1762.888916015625
2025-10-17,1731.19,1777.1198418150725,1767.366943359375
2025-10-20,1636.43,1789.824002622758,1770.6983642578125
2025-10-21,1663.43,1645.3903894645946,1634.133056640625
2025-10-22,1678.5,1653.087103464939,1692.447021484375
2025-10-23,1687.06,1690.4133332375718,1627.915771484375
2025-10-24,1683.18,1701.566032464699,1670.9119873046875
2025-10-27,1652.54,1686.282498268908,1682.157958984375
2025-10-28,1680.5,1684.7198641227285,1683.919677734375
2025-10-29,1685.83,1678.3581798442076,1679.0771484375
2025-10-30,1669.57,1676.5568101826602,1666.08642578125
2025-10-31,1639.65,1663.1213187424378,1680.978515625
2025-11-03,1617.0,1656.399101334555,1686.9735107421875
2025-11-04,1651.98,1611.4467042978342,1615.9935302734375
2025-11-05,1654.89,1603.2907145381969,1616.455810546875
2025-11-06,1642.64,1653.0460970355234,1655.7518310546875
2025-11-07,1599.1,1650.2740658414818,1636.4722900390625
