Date,Actual VN-INDEX,Baseline Predicted VN-INDEX,Predicted VN-INDEX
2025-11-19,1649.0,1659.613534930838,1650.6632572863782
2025-11-20,1655.99,1654.9544484393923,1653.0970656603233
2025-11-21,1654.93,1653.0184060319814,1653.9060700034904
2025-11-24,1667.98,1657.2685223175636,1658.5361957254036
2025-11-25,1660.36,1665.9977523607083,1661.2080899344494
2025-11-26,1680.36,1659.7802498056244,1662.6444416894528
2025-11-27,1684.32,1680.4015888691824,1667.8109500404646
2025-11-28,1690.99,1677.9709424356206,1672.229015621183
2025-12-01,1701.67,1687.8074423399553,1683.0493887064697
2025-12-02,1717.06,1687.6750729678022,1684.3834660677562
2025-12-03,1731.77,1713.9745352142108,1854.6490466253206
2025-12-04,1737.24,1713.760601035388,1864.5264646853225
2025-12-05,1741.32,1737.5116355698308,1833.5550415493842
2025-12-08,1753.74,1744.3679744380452,1793.586193116132
2025-12-09,1747.17,1759.5698356423254,1649.4321469594975
2025-12-10,1718.98,1763.534435645824,1648.8862059710405
2025-12-11,1698.9,1718.3095803790895,1692.9960477410873
2025-12-12,1646.89,1721.010232820028,1751.2548338668414
2025-12-15,1646.01,1643.6909472298896,1705.5855649649543
2025-12-16,1679.18,1644.3708697707305,1701.4721793569897
