Date,VN_Index_Close,Total Volume,Total Value
2000-07-28,100.0,4200.0,70400000.0
2000-07-31,101.55,10300.0,176890000.0
2000-08-02,103.38,300.0,5160000.0
2000-08-04,105.2,3700.0,62600000.0
2000-08-07,106.92,13100.0,229190000.0
2000-08-09,108.64,15900.0,288330000.0
2000-08-11,110.36,13600.0,240280000.0
2000-08-14,112.08,11700.0,212580000.0
2000-08-16,113.8,23000.0,423830000.0
2000-08-18,115.52,10300.0,196570000.0
2000-08-21,117.24,35500.0,695560000.0
2000-08-23,118.96,111400.0,2210000000.0
2000-08-25,118.84,95200.0,1920000000.0
2000-08-28,117.0,97900.0,1920000000.0
2000-08-30,115.15,126500.0,2480000000.0
2000-09-01,113.37,96600.0,1840000000.0
2000-09-06,112.51,60900.0,1180000000.0
2000-09-08,112.39,49500.0,895570000.0
2000-09-11,114.11,31300.0,566020000.0
2000-09-13,116.08,18400.0,369140000.0
2000-09-15,118.04,45900.0,867060000.0
2000-09-18,118.19,64600.0,1330000000.0
2000-09-20,118.21,41600.0,845360000.0
2000-09-22,118.76,66900.0,1380000000.0
2000-09-25,118.98,56600.0,1170000000.0
2000-09-27,119.69,56600.0,1140000000.0
2000-09-29,120.71,52800.0,1070000000.0000001
2000-10-02,120.92,48600.0,980850000.0
2000-10-04,121.14,58400.0,1200000000.0
2000-10-06,122.21,39600.0,813480000.0
2000-10-09,124.33,25900.0,543190000.0
2000-10-11,126.45,53300.0,1160000000.0
2000-10-13,128.57,51900.0,1060000000.0
2000-10-16,130.71,26600.0,595560000.0
2000-10-18,132.85,25700.0,566180000.0
2000-10-20,135.04,65900.0,1510000000.0
2000-10-23,136.55,39100.0,876770000.0
2000-10-25,137.08,45000.0,1040000000.0
2000-10-27,139.57,88200.0,2009999999.9999998
2000-10-30,140.84,101200.0,2350000000.0
2000-11-01,143.33,95900.0,2260000000.0
2000-11-03,145.83,78800.0,1950000000.0
2000-11-06,148.57,55300.0,1420000000.0
2000-11-08,151.32,29200.0,744680000.0
2000-11-10,154.08,57300.0,1530000000.0
2000-11-13,156.84,21700.0,595560000.0
2000-11-15,159.6,12400.0,352330000.0
2000-11-17,162.36,34700.0,949110000.0
2000-11-20,165.17,62700.0,1780000000.0
2000-11-22,165.52,136200.0,3710000000.0
2000-11-24,166.17,116500.0,3210000000.0
